,taxon_name_w_authors,v10_11_12_accepted_name_w_author,v13_taxon_name_w_authors,v13_chained_accepted_name_w_author,v13_chained_accepted_species_w_author,v13_direct_accepted_name_w_author,v13_direct_accepted_species_w_author,v13_chained_accepted_genus,v13_direct_accepted_genus
931100,Cardamine nasturtiifolia Steud.,Cardamine pratensis subsp. pratensis,Cardamine pratensis subsp. pratensis,Cardamine pratensis subsp. pratensis,Cardamine pratensis L.,Rorippa bonariensis var. bonariensis,Rorippa bonariensis (Poir.) Macloskie,Cardamine,Rorippa
937365,Ilex ligustrina var. minutiflora (A.Rich.) Loes.,Ilex vomitoria subsp. vomitoria,Ilex vomitoria subsp. vomitoria,Ilex vomitoria subsp. vomitoria,Ilex vomitoria Aiton,Banara minutiflora (A.Rich.) Sleumer,Banara minutiflora (A.Rich.) Sleumer,Ilex,Banara
937416,Ilex cuneifolia Hook.,Jodina rhombifolia subsp. rhombifolia,Jodina rhombifolia subsp. rhombifolia,Jodina rhombifolia subsp. rhombifolia,Jodina rhombifolia (Hook. & Arn.) Reissek,Ilex obcordata var. obcordata,Ilex obcordata Sw.,Jodina,Ilex
938069,Carduus cynaroides Lam.,Cynara cardunculus subsp. cardunculus,Cynara cardunculus subsp. cardunculus,Cynara cardunculus subsp. cardunculus,Cynara cardunculus L.,Lamyropsis cynaroides (Lam.) Dittrich,Lamyropsis cynaroides (Lam.) Dittrich,Cynara,Lamyropsis
938072,Chamaepeuce cynaroides (Lam.) DC.,Cynara cardunculus subsp. cardunculus,Cynara cardunculus subsp. cardunculus,Cynara cardunculus subsp. cardunculus,Cynara cardunculus L.,Lamyropsis cynaroides (Lam.) Dittrich,Lamyropsis cynaroides (Lam.) Dittrich,Cynara,Lamyropsis
938075,Carduus cynara E.H.L.Krause,Cynara cardunculus subsp. cardunculus,Cynara cardunculus subsp. cardunculus,Cynara cardunculus subsp. cardunculus,Cynara cardunculus L.,Lamyropsis cynaroides (Lam.) Dittrich,Lamyropsis cynaroides (Lam.) Dittrich,Cynara,Lamyropsis
938863,Carduus horridus Adams,Centaurea benedicta var. benedicta,Centaurea benedicta var. benedicta,Centaurea benedicta var. benedicta,Centaurea benedicta (L.) L.,"Lophiolepis horrida (Adams) Bureš, Del Guacchio, Iamonico & P.Caputo","Lophiolepis horrida (Adams) Bureš, Del Guacchio, Iamonico & P.Caputo",Centaurea,Lophiolepis
938910,Vernonia apocynifolia Baker,Cyanthillium cinereum var. cinereum,Cyanthillium cinereum var. cinereum,Cyanthillium cinereum var. cinereum,Cyanthillium cinereum (L.) H.Rob.,"Humbertacalia apocynifolia (Baker) Rabarim., Callm. & J.Calvo","Humbertacalia apocynifolia (Baker) Rabarim., Callm. & J.Calvo",Cyanthillium,Humbertacalia
943402,Asplenium bidentatum Willd.,Asplenium erosum var. erosum,Asplenium erosum var. erosum,Asplenium erosum var. erosum,Asplenium erosum L.,Hymenasplenium laetum (Sw.) L.Regalado & Prada,Hymenasplenium laetum (Sw.) L.Regalado & Prada,Asplenium,Hymenasplenium
946073,Galactia formosa (Griseb.) Stuck. ex Seckt,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Collaea argentina Griseb.,Collaea argentina Griseb.,Nanogalactia,Collaea
946074,Collaea argentina Griseb.,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Collaea argentina Griseb.,Collaea argentina Griseb.,Nanogalactia,Collaea
946076,Collaea formosa Griseb.,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Nanogalactia heterophylla (Gillies ex Hook.) L.P.Queiroz,Collaea argentina Griseb.,Collaea argentina Griseb.,Nanogalactia,Collaea
1125612,Listrostachys pescatoriana (Lindl.) S.Moore,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys (Thouars) Schltr.,Oeoniella polystachys (Thouars) Schltr.,Listrostachys pertusa (Lindl.) Rchb.f.,Listrostachys pertusa (Lindl.) Rchb.f.,Oeoniella,Listrostachys
1131359,Canistrum lindenii (Regel) Mez,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Hohenbergia augusta (Vell.) É.Morren,Edmundoa lindenii (Regel) Leme,Edmundoa lindenii (Regel) Leme,Hohenbergia,Edmundoa
1156641,Malveopsis spicata var. normalis Kuntze,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Melochia spicata (L.) Fryxell,Melochia spicata (L.) Fryxell,Malvastrum,Melochia
1156643,Melochia spicata (L.) Fryxell,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Melochia spicata (L.) Fryxell,Melochia spicata (L.) Fryxell,Malvastrum,Melochia
1156644,Visenia spicata (L.) Colla,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Melochia spicata (L.) Fryxell,Melochia spicata (L.) Fryxell,Malvastrum,Melochia
1156647,Malveopsis spicata (L.) Kuntze,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Melochia spicata (L.) Fryxell,Melochia spicata (L.) Fryxell,Malvastrum,Melochia
1156648,Malvastrum spicatum (L.) A.Gray,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Malvastrum americanum (L.) Torr.,Melochia spicata (L.) Fryxell,Melochia spicata (L.) Fryxell,Malvastrum,Melochia
1157915,Vigna stipulacea (Lam.) Kuntze,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Pueraria montana (Lour.) Merr.,Vigna stipulacea (Lam.) Kuntze,Vigna stipulacea (Lam.) Kuntze,Pueraria,Vigna
1167851,Cumulopuntia berteroi (Colla) F.Ritter,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Cumulopuntia berteroi (Colla) F.Ritter,Cumulopuntia berteroi (Colla) F.Ritter,Eriosyce,Cumulopuntia
1167859,Opuntia berteroi (Colla) A.E.Hoffm.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Cumulopuntia berteroi (Colla) F.Ritter,Cumulopuntia berteroi (Colla) F.Ritter,Eriosyce,Cumulopuntia
1167860,Echinocactus berteroi (Colla) Gay,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Eriosyce subgibbosa (Haw.) Katt.,Cumulopuntia berteroi (Colla) F.Ritter,Cumulopuntia berteroi (Colla) F.Ritter,Eriosyce,Cumulopuntia
1175934,Caesalpinia pyramidata (Mill.) Martyn,Cenostigma gaumeri (Greenm.) Gagnon & G.P.Lewis,Cenostigma gaumeri (Greenm.) Gagnon & G.P.Lewis,Cenostigma gaumeri (Greenm.) Gagnon & G.P.Lewis,Cenostigma gaumeri (Greenm.) Gagnon & G.P.Lewis,Erythrostemon yucatanensis var. yucatanensis,Erythrostemon yucatanensis (Greenm.) Gagnon & G.P.Lewis,Cenostigma,Erythrostemon
1176480,Arenaria arctica var. hondoensis (Ohwi) H.Hara,Cherleria arctica (Steven ex Ser.) A.J.Moore & Dillenb.,Cherleria arctica (Steven ex Ser.) A.J.Moore & Dillenb.,Cherleria arctica (Steven ex Ser.) A.J.Moore & Dillenb.,Cherleria arctica (Steven ex Ser.) A.J.Moore & Dillenb.,Minuartia hondoensis (Ohwi) Ohwi,Minuartia hondoensis (Ohwi) Ohwi,Cherleria,Minuartia
1177190,Arctium majus subsp. intermedium (Lange) Nyman,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Arctium nemorosum Lej.,Arctium nemorosum Lej.,Cousinia,Arctium
1177191,Lappa intermedium (Lange) Lange,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Cousinia chlorocephala C.A.Mey. ex DC.,Arctium nemorosum Lej.,Arctium nemorosum Lej.,Cousinia,Arctium
1179532,Shawia arguta (Benth.) Britten,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Camptacra gracilis (Benth.) Lander,Olearia arguta Benth.,Olearia arguta Benth.,Camptacra,Olearia
1181725,Parahemionitis arifolia (Burm.f.) Panigrahi,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Hemionitis arifolia (Burm.f.) T.Moore,Hemionitis arifolia (Burm.f.) T.Moore,Acrostichum,Hemionitis
1181726,Gymnogramma arifolia (Burm.f.) Kuhn,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Hemionitis arifolia (Burm.f.) T.Moore,Hemionitis arifolia (Burm.f.) T.Moore,Acrostichum,Hemionitis
1181727,Hemionitis arifolia (Burm.f.) T.Moore,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Acrostichum aureum L.,Hemionitis arifolia (Burm.f.) T.Moore,Hemionitis arifolia (Burm.f.) T.Moore,Acrostichum,Hemionitis
1188656,Matricaria valentina (L.) L.,Porophyllum ruderale var. ruderale,Porophyllum ruderale var. ruderale,Porophyllum ruderale var. ruderale,Porophyllum ruderale (Jacq.) Cass.,Anacyclus radiatus Loisel.,Anacyclus radiatus Loisel.,Porophyllum,Anacyclus
1194333,Coprosma dentata (Elmer) Heads,Nertera granadensis var. granadensis,Nertera granadensis var. granadensis,Nertera granadensis var. granadensis,Nertera granadensis (Mutis ex L.f.) Druce,Hemiphragma heterophyllum var. dentatum (Elmer) T.Yamaz.,Hemiphragma heterophyllum Wall.,Nertera,Hemiphragma
1196840,Anoectochilus lowii T.Br.,Dossinia marmorata C.Morren,Dossinia marmorata C.Morren,Dossinia marmorata C.Morren,Dossinia marmorata C.Morren,Anoectochilus brevilabris Lindl.,Anoectochilus brevilabris Lindl.,Dossinia,Anoectochilus
1197443,Octomeria stellata (Lindl.) Spreng.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
1197445,Tainia stellata (Lindl.) Pfitzer,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
1197446,Eria rugosa (Blume) Lindl.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
1197447,Pinalia fragrans (Rchb.f.) Kuntze,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
1197448,Pinalia stellata (Lindl.) Kuntze,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
1197449,Pinalia rugosa (Blume) Kuntze,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
1197450,Pinalia striolata (Rchb.f.) Kuntze,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Eria stellata Lindl.,Eria stellata Lindl.,Bulbophyllum,Eria
1214362,Dupatya vaginata (Körn.) Kuntze,Syngonanthus fischerianus (Bong.) Ruhland,Syngonanthus fischerianus (Bong.) Ruhland,Syngonanthus fischerianus (Bong.) Ruhland,Syngonanthus fischerianus (Bong.) Ruhland,Paepalanthus vaginatus Körn.,Paepalanthus vaginatus Körn.,Syngonanthus,Paepalanthus
1222947,Vilfa frondosa C.Presl,Agrostis castellana Boiss. & Reut.,Agrostis castellana Boiss. & Reut.,Agrostis castellana Boiss. & Reut.,Agrostis castellana Boiss. & Reut.,Polypogon viridis (Gouan) Breistr.,Polypogon viridis (Gouan) Breistr.,Agrostis,Polypogon
1257404,Feuilleea terminalis Kuntze,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,Pseudalbizzia polycephala (Benth.) E.J.M.Koenen & Duno,"Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim","Hydrochorea pedicellaris (DC.) M.V.B.Soares, Iganci & M.P.Morim",Pseudalbizzia,Hydrochorea
1267319,Chrysoxylon vinhatico Casar.,Dimorphandra exaltata Schott,Dimorphandra exaltata Schott,Dimorphandra exaltata Schott,Dimorphandra exaltata Schott,Plathymenia reticulata Benth.,Plathymenia reticulata Benth.,Dimorphandra,Plathymenia
1269092,Eruca vesicaria var. stenocarpa (Boiss. & Reut.) Thell.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Erucastrum nasturtiifolium subsp. nasturtiifolium,Erucastrum nasturtiifolium (Poir.) O.E.Schulz,Eruca,Erucastrum
1269096,Eruca sativa var. stenocarpa (Boiss. & Reut.) Coss.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Erucastrum nasturtiifolium subsp. nasturtiifolium,Erucastrum nasturtiifolium (Poir.) O.E.Schulz,Eruca,Erucastrum
1269103,Eruca sativa subsp. stenocarpa (Boiss. & Reut.) Maire,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Erucastrum nasturtiifolium subsp. nasturtiifolium,Erucastrum nasturtiifolium (Poir.) O.E.Schulz,Eruca,Erucastrum
1271752,Haplanthus tentaculatus var. neilgherryensis (Wight) C.B.Clarke,Haplanthodes Kuntze,Haplanthodes Kuntze,Haplanthodes Kuntze,,Haplanthodes neilgherryensis (Wight) R.B.Majumdar,Haplanthodes neilgherryensis (Wight) R.B.Majumdar,,Haplanthodes
1271754,Bremekampia neilgherryensis (Wight) Sreem.,Haplanthodes Kuntze,Haplanthodes Kuntze,Haplanthodes Kuntze,,Haplanthodes neilgherryensis (Wight) R.B.Majumdar,Haplanthodes neilgherryensis (Wight) R.B.Majumdar,,Haplanthodes
1271792,Harrisia serruliflora (Haw.) Lourteig,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Serrulatocereus serruliflorus (Haw.) Guiggi,Serrulatocereus serruliflorus (Haw.) Guiggi,Harrisia,Serrulatocereus
1271794,Serrulatocereus serruliflorus (Haw.) Guiggi,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Harrisia divaricata (Lam.) Backeb.,Serrulatocereus serruliflorus (Haw.) Guiggi,Serrulatocereus serruliflorus (Haw.) Guiggi,Harrisia,Serrulatocereus
1273182,Robinsonia guianensis (Aubl.) J.F.Gmel.,Quiina guianensis Aubl.,Quiina guianensis Aubl.,Quiina guianensis Aubl.,Quiina guianensis Aubl.,Touroulia guianensis Aubl.,Touroulia guianensis Aubl.,Quiina,Touroulia
1280831,× Rowleyara hildmannii (Hildm.) P.V.Heath,Disocactus crenatus subsp. kimnachii (Bavo) M.Á.Cruz & S.Arias,Disocactus crenatus subsp. kimnachii (Bavo) M.Á.Cruz & S.Arias,Disocactus crenatus subsp. kimnachii (Bavo) M.Á.Cruz & S.Arias,Disocactus crenatus (Lindl.) M.Á.Cruz & S.Arias,× Disoselenicereus hildmannii (Hildm.) M.H.J.van der Meer,× Disoselenicereus hildmannii (Hildm.) M.H.J.van der Meer,Disocactus,× Disoselenicereus
1292349,Anemonoides soyensis (H.Boissieu) Holub,Anemonastrum flaccidum (Fr.Schmidt) Mosyakin,Anemonastrum flaccidum (Fr.Schmidt) Mosyakin,Anemonastrum flaccidum (Fr.Schmidt) Mosyakin,Anemonastrum flaccidum (Fr.Schmidt) Mosyakin,Anemonoides soyensis (H.Boissieu) Holub,Anemonoides soyensis (H.Boissieu) Holub,Anemonastrum,Anemonoides
1294918,Maquira grandifolia (Trécul) Baill. ex Benth. & Hook.f.,Maquira guianensis subsp. guianensis,Maquira guianensis subsp. guianensis,Maquira guianensis subsp. guianensis,Maquira guianensis Aubl.,Perebea guianensis subsp. guianensis,Perebea guianensis Aubl.,Maquira,Perebea
1296844,Cirsium horridum (Adams) Petr.,Centaurea benedicta var. benedicta,Centaurea benedicta var. benedicta,Centaurea benedicta var. benedicta,Centaurea benedicta (L.) L.,"Lophiolepis horrida (Adams) Bureš, Del Guacchio, Iamonico & P.Caputo","Lophiolepis horrida (Adams) Bureš, Del Guacchio, Iamonico & P.Caputo",Centaurea,Lophiolepis
1297292,Placus membranaceus (DC.) Kuntze,Pluchea paniculata var. paniculata,Pluchea paniculata var. paniculata,Pluchea paniculata var. paniculata,Pluchea paniculata (Willd.) Karthik. & Moorthy,Blumea membranacea DC.,Blumea membranacea DC.,Pluchea,Blumea
