,taxon_name_w_authors,v10_11_12_13_14_15_accepted_name_w_author,v16_taxon_name_w_authors,v16_chained_accepted_name_w_author,v16_chained_accepted_species,v16_direct_accepted_name_w_author,v16_direct_accepted_species
509690,Evelyna zamorensis (Garay) Dudek & Szlach.,Elleanthus capitatus (Poepp. & Endl.) Rchb.f.,Elleanthus capitatus (Poepp. & Endl.) Rchb.f.,Elleanthus capitatus (Poepp. & Endl.) Rchb.f.,Elleanthus capitatus,Elleanthus zamorensis Garay,Elleanthus zamorensis
509691,Evelyna lepida Rchb.f.,Elleanthus caravata (Aubl.) Rchb.f.,Elleanthus caravata (Aubl.) Rchb.f.,Elleanthus caravata (Aubl.) Rchb.f.,Elleanthus caravata,Elleanthus lepidus (Rchb.f.) Rchb.f.,Elleanthus lepidus
509692,Elleanthus lepidus (Rchb.f.) Rchb.f.,Elleanthus caravata (Aubl.) Rchb.f.,Elleanthus caravata (Aubl.) Rchb.f.,Elleanthus caravata (Aubl.) Rchb.f.,Elleanthus caravata,Elleanthus lepidus (Rchb.f.) Rchb.f.,Elleanthus lepidus
509702,Elleanthus conchochilus Schltr.,Elleanthus conifer (Rchb.f. & Warsz.) Rchb.f.,Elleanthus conifer (Rchb.f. & Warsz.) Rchb.f.,Elleanthus conifer (Rchb.f. & Warsz.) Rchb.f.,Elleanthus conifer,Elleanthus conchochilus Schltr.,Elleanthus conchochilus
509706,Evelyna oeconomica Rchb.f. & Warsz.,Elleanthus furfuraceus (Lindl.) Rchb.f.,Elleanthus furfuraceus (Lindl.) Rchb.f.,Elleanthus furfuraceus (Lindl.) Rchb.f.,Elleanthus furfuraceus,Elleanthus oeconomicus (Rchb.f. & Warsz.) Garay & Dunst.,Elleanthus oeconomicus
509727,Elleanthus laxus Schltr.,Elleanthus lancifolius C.Presl,Elleanthus lancifolius C.Presl,Elleanthus lancifolius C.Presl,Elleanthus lancifolius,Elleanthus laxus Schltr.,Elleanthus laxus
509728,Elleanthus macer Schltr.,Elleanthus lancifolius C.Presl,Elleanthus lancifolius C.Presl,Elleanthus lancifolius C.Presl,Elleanthus lancifolius,Elleanthus macer Schltr.,Elleanthus macer
509733,Evelyna lupulina Lindl.,Elleanthus maculatus (Lindl.) Rchb.f.,Elleanthus maculatus (Lindl.) Rchb.f.,Elleanthus maculatus (Lindl.) Rchb.f.,Elleanthus maculatus,Elleanthus lupulinus (Lindl.) Rchb.f.,Elleanthus lupulinus
509743,Elleanthus stenophyllus Schltr.,Elleanthus rhodolepis (Rchb.f.) Rchb.f.,Elleanthus rhodolepis (Rchb.f.) Rchb.f.,Elleanthus rhodolepis (Rchb.f.) Rchb.f.,Elleanthus rhodolepis,Elleanthus stenophyllus Schltr.,Elleanthus stenophyllus
509745,Elleanthus carnevalii Dodson,Elleanthus roseus Schltr.,Elleanthus roseus Schltr.,Elleanthus roseus Schltr.,Elleanthus roseus,Elleanthus carnevalii Dodson,Elleanthus carnevalii
509874,Encyclia powellii Schltr.,Encyclia ceratistes (Lindl.) Schltr.,Encyclia ceratistes (Lindl.) Schltr.,Encyclia ceratistes (Lindl.) Schltr.,Encyclia ceratistes,Encyclia stellata (Lindl.) Schltr.,Encyclia stellata
509884,Epidendrum amandum Ames,Encyclia chloroleuca (Hook.) Neumann,Encyclia chloroleuca (Hook.) Neumann,Encyclia chloroleuca (Hook.) Neumann,Encyclia chloroleuca,Encyclia amanda (Ames) Dressler,Encyclia amanda
510190,Epidendrum tridens var. briegeri I.Bock,Epidendrum carpophorum Barb.Rodr.,Epidendrum carpophorum Barb.Rodr.,Epidendrum carpophorum Barb.Rodr.,Epidendrum carpophorum,Epidendrum briegeri (I.Bock) Sambin,Epidendrum briegeri
511088,Epipogium sessanum S.N.Hegde & A.N.Rao,Epipogium roseum (D.Don) Lindl.,Epipogium roseum (D.Don) Lindl.,Epipogium roseum (D.Don) Lindl.,Epipogium roseum,Epipogium sessanum S.N.Hegde & A.N.Rao,Epipogium sessanum
511131,Katherinea perakensis (Hook.f.) A.D.Hawkes,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511133,Octomeria vaginata Breda,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511134,Dendrobium perakense Hook.f.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511135,Sarcopodium perakense (Hook.f.) Kraenzl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511136,Eria micholitzii Kraenzl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511137,Callista perakensis (Hook.f.) Kuntze,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511138,Dendrolirium rugosum Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511139,Eria inamoena Schltr.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511140,Eria fragrans Rchb.f.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511141,Eria striolata Rchb.f.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511142,Eria stellata Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511143,Eria papuana Kraenzl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511144,Eria pseudostellata Schltr.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511145,"Eria vaginata (Breda, Kuhl & Hasselt) Benth.",Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria stellata Lindl.,Eria stellata
511146,Eria cochleata Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Eria cochleata Lindl.,Eria cochleata
511281,Eucalyptus leucophylla Domin,Eucalyptus argillacea W.Fitzg.,Eucalyptus argillacea W.Fitzg.,Eucalyptus argillacea W.Fitzg.,Eucalyptus argillacea,Eucalyptus leucophylla Domin,Eucalyptus leucophylla
511282,Eucalyptus tropica Cambage ex Maiden,Eucalyptus argillacea W.Fitzg.,Eucalyptus argillacea W.Fitzg.,Eucalyptus argillacea W.Fitzg.,Eucalyptus argillacea,Eucalyptus leucophylla Domin,Eucalyptus leucophylla
511314,Eucalyptus langii Maiden & Blakely,Eucalyptus cladocalyx F.Muell.,Eucalyptus cladocalyx F.Muell.,Eucalyptus cladocalyx F.Muell.,Eucalyptus cladocalyx,Eucalyptus cladocalyx subsp. cladocalyx,Eucalyptus cladocalyx
511320,Eucalyptus microcodon L.A.S.Johnson & K.D.Hill,Eucalyptus codonocarpa Blakely & McKie,Eucalyptus codonocarpa Blakely & McKie,Eucalyptus codonocarpa Blakely & McKie,Eucalyptus codonocarpa,Eucalyptus microcodon L.A.S.Johnson & K.D.Hill,Eucalyptus microcodon
511329,Eugenia binacag Elmer,Eucalyptus deglupta Blume,Eucalyptus deglupta Blume,Eucalyptus deglupta Blume,Eucalyptus deglupta,Eucalyptus binacag (Elmer) Elmer,Eucalyptus binacag
511336,Eucalyptus brunnea L.A.S.Johnson & K.D.Hill,Eucalyptus deanei Maiden,Eucalyptus deanei Maiden,Eucalyptus deanei Maiden,Eucalyptus deanei,Eucalyptus brunnea L.A.S.Johnson & K.D.Hill,Eucalyptus brunnea
511337,Eucalyptus binacag (Elmer) Elmer,Eucalyptus deglupta Blume,Eucalyptus deglupta Blume,Eucalyptus deglupta Blume,Eucalyptus deglupta,Eucalyptus binacag (Elmer) Elmer,Eucalyptus binacag
511344,Eucalyptus tasmanica Blakely,Eucalyptus tasmaniensis (Boland) D.Nicolle,Eucalyptus tasmaniensis (Boland) D.Nicolle,Eucalyptus tasmaniensis (Boland) D.Nicolle,Eucalyptus tasmaniensis,Eucalyptus tenuiramis Miq.,Eucalyptus tenuiramis
511345,Eucalyptus risdonii var. elata Benth.,Eucalyptus tasmaniensis (Boland) D.Nicolle,Eucalyptus tasmaniensis (Boland) D.Nicolle,Eucalyptus tasmaniensis (Boland) D.Nicolle,Eucalyptus tasmaniensis,Eucalyptus tenuiramis Miq.,Eucalyptus tenuiramis
511401,Eucalyptus grasbyi Maiden & Blakely,Eucalyptus longicornis (F.Muell.) Maiden,Eucalyptus longicornis (F.Muell.) Maiden,Eucalyptus longicornis (F.Muell.) Maiden,Eucalyptus longicornis,Eucalyptus grasbyi Maiden & Blakely,Eucalyptus grasbyi
511418,Eucalyptus raveretiana var. jerichoensis Domin,Eucalyptus microtheca F.Muell.,Eucalyptus microtheca F.Muell.,Eucalyptus microtheca F.Muell.,Eucalyptus microtheca,Eucalyptus coolabah Blakely & Jacobs,Eucalyptus coolabah
511451,Eucalyptus piperata Stokes,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita,Eucalyptus piperita subsp. piperita,Eucalyptus piperita
511452,Eucalyptus piperita var. brachycorys Benth.,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita,Eucalyptus piperita subsp. piperita,Eucalyptus piperita
511453,Eucalyptus piperita var. eugenioides Benth.,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita,Eucalyptus piperita subsp. piperita,Eucalyptus piperita
511454,Eucalyptus piperita var. laxiflora Benth.,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita,Eucalyptus piperita subsp. piperita,Eucalyptus piperita
511455,Eucalyptus scabra Dum.Cours.,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita,Eucalyptus piperita subsp. piperita,Eucalyptus piperita
511456,Eucalyptus urceolaris Maiden & Blakely,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita,Eucalyptus piperita subsp. urceolaris (Maiden & Blakely) L.A.S.Johnson & Blaxell,Eucalyptus piperita
511457,Eucalyptus bottii Blakely,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita J.White,Eucalyptus piperita,Eucalyptus piperita subsp. piperita,Eucalyptus piperita
511481,Eucalyptus rostrata Cav.,Eucalyptus robusta Sm.,Eucalyptus robusta Sm.,Eucalyptus robusta Sm.,Eucalyptus robusta,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis
511483,Eucalyptus robusta var. rostrata (Cav.) Pers.,Eucalyptus robusta Sm.,Eucalyptus robusta Sm.,Eucalyptus robusta Sm.,Eucalyptus robusta,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis
511501,Eucalyptus uncinata var. latifolia Benth.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata
511502,Eucalyptus uncinata var. pedicellata Hochr.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata
511503,Eucalyptus dumosa var. puncticulata Benth.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata
511504,Eucalyptus desertorum Naudin,Eucalyptus uncinata Turcz.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata Turcz.,Eucalyptus uncinata,Eucalyptus uncinata subsp. uncinata,Eucalyptus uncinata
511509,Eucalyptus prominula L.A.S.Johnson & K.D.Hill,Eucalyptus youmanii Blakely & McKie,Eucalyptus youmanii Blakely & McKie,Eucalyptus youmanii Blakely & McKie,Eucalyptus youmanii,Eucalyptus prominula L.A.S.Johnson & K.D.Hill,Eucalyptus prominula
511599,Myrtus capensis (Eckl. & Zeyh.) Harv.,Eugenia capensis subsp. capensis,Eugenia capensis subsp. capensis,Eugenia capensis subsp. capensis,Eugenia capensis,Eugenia capensis (Eckl. & Zeyh.) Harv.,Eugenia capensis
512179,Eugenia macrosepala Duthie,Eugenia roxburghii DC.,Eugenia roxburghii DC.,Eugenia roxburghii DC.,Eugenia roxburghii,Eugenia macrosepala Duthie,Eugenia macrosepala
513049,Euphorbia phymatoclada Boiss.,Euphorbia burmanni E.Mey. ex Boiss.,Euphorbia burmanni E.Mey. ex Boiss.,Euphorbia burmanni E.Mey. ex Boiss.,Euphorbia burmanni,Euphorbia mauritanica L.,Euphorbia mauritanica
513050,Euphorbia hydnorae E.Mey. ex Boiss.,Euphorbia burmanni E.Mey. ex Boiss.,Euphorbia burmanni E.Mey. ex Boiss.,Euphorbia burmanni E.Mey. ex Boiss.,Euphorbia burmanni,Euphorbia mauritanica L.,Euphorbia mauritanica
513150,Euphorbia cereiformis var. echinata Salm-Dyck ex Boiss.,Euphorbia cereiformis L.,Euphorbia cereiformis L.,Euphorbia cereiformis L.,Euphorbia cereiformis,Euphorbia mammillaris L.,Euphorbia mammillaris
513151,Euphorbia echinata Salm-Dyck,Euphorbia cereiformis L.,Euphorbia cereiformis L.,Euphorbia cereiformis L.,Euphorbia cereiformis,Euphorbia mammillaris L.,Euphorbia mammillaris
513152,Euphorbia odontophylla Willd.,Euphorbia cereiformis L.,Euphorbia cereiformis L.,Euphorbia cereiformis L.,Euphorbia cereiformis,Euphorbia mammillaris L.,Euphorbia mammillaris
513153,Euphorbia polygonata G.Lodd.,Euphorbia cereiformis L.,Euphorbia cereiformis L.,Euphorbia cereiformis L.,Euphorbia cereiformis,Euphorbia polygona Haw.,Euphorbia polygona
513339,Euphorbia pseudohypogaea Dinter,Euphorbia davyi N.E.Br.,Euphorbia davyi N.E.Br.,Euphorbia davyi N.E.Br.,Euphorbia davyi,"Euphorbia duseimata subsp. pseudoduseimata (A.C.White, R.A.Dyer & B.Sloane) Bruyns",Euphorbia duseimata
513340,"Euphorbia pseudoduseimata A.C.White, R.A.Dyer & B.Sloane",Euphorbia davyi N.E.Br.,Euphorbia davyi N.E.Br.,Euphorbia davyi N.E.Br.,Euphorbia davyi,"Euphorbia duseimata subsp. pseudoduseimata (A.C.White, R.A.Dyer & B.Sloane) Bruyns",Euphorbia duseimata
513483,Euphorbia villosa Friv. ex Boiss.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513484,Euphorbia epithymoides var. polychroma (A.Kern.) Nyman,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513486,Euphorbia polychroma f. longifolia Beck,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513487,Euphorbia epithymoides f. glabrescens Rostanski,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513488,Euphorbia polychroma f. denticulata Rohlena,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513489,Euphorbia polychroma A.Kern.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513490,Euphorbia epithymoides var. jacquinii Fiori,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia fragifera Jan,Euphorbia fragifera
513491,Euphorbia epithymoides var. glaberrima H.Lindb.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513492,Euphorbia polychroma var. microsperma Murb.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513493,Euphorbia jacquinii Fenzl ex Boiss.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513494,Euphorbia lingulata Heuff.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. lingulata (Heuff.) Nyman,Euphorbia epithymoides
513495,Euphorbia fragifera Schur,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513496,Tithymalus jacquinii (Fenzl ex Boiss.) Soják,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513497,Tithymalus fragifer Klotzsch & Garcke,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides L.,Euphorbia epithymoides,Euphorbia epithymoides subsp. epithymoides,Euphorbia epithymoides
513526,Euphorbia borodinii Sambuk,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia borodinii Sambuk,Euphorbia borodinii
513538,Euphorbia karoi Freyn,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia karoi Freyn,Euphorbia karoi
513552,Galarhoeus pseudagrarius (P.A.Smirn.) Prokh.,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia pseudagraria P.A.Smirn.,Euphorbia pseudagraria
513553,Galarhoeus tarokoensis (Hayata) H.Hara,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia tarokoensis Hayata,Euphorbia tarokoensis
513559,Euphorbia gracilis Besser ex M.Bieb.,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia subtilis (Prokh.) Prokh.,Euphorbia subtilis
513567,Euphorbia pseudagraria P.A.Smirn.,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia pseudagraria P.A.Smirn.,Euphorbia pseudagraria
513569,Euphorbia rossica P.A.Smirn.,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia rossica P.A.Smirn.,Euphorbia rossica
513582,Tithymalus gracilis Klotzsch & Garcke,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia subtilis (Prokh.) Prokh.,Euphorbia subtilis
513588,Tithymalus tarokoensis (Hayata) Soják,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula subsp. esula,Euphorbia esula,Euphorbia tarokoensis Hayata,Euphorbia tarokoensis
513765,Dactylanthes medusa Raf.,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata,Euphorbia hamata var. hamata,Euphorbia hamata
513766,Euphorbia peltigera E.Mey. ex Boiss.,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata,Euphorbia hamata var. hamata,Euphorbia hamata
513767,Euphorbia cervicornis Boiss.,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata (Haw.) Sweet,Euphorbia hamata,Euphorbia hamata var. hamata,Euphorbia hamata
513895,Euphorbia splendens var. breonii Leandri ex J.-P.Castillon & J.-B.Castillon,Euphorbia hislopii N.E.Br.,Euphorbia hislopii N.E.Br.,Euphorbia hislopii N.E.Br.,Euphorbia hislopii,Euphorbia vulcani var. breonii (Leandri ex J.-P.Castillon & J.-B.Castillon) J.-P.Castillon,Euphorbia vulcani
513896,Euphorbia splendens var. vulcani Leandri ex J.-P.Castillon & J.-B.Castillon,Euphorbia hislopii N.E.Br.,Euphorbia hislopii N.E.Br.,Euphorbia hislopii N.E.Br.,Euphorbia hislopii,Euphorbia vulcani (Leandri ex J.-P.Castillon & J.-B.Castillon) J.-P.Castillon,Euphorbia vulcani
513929,Euphorbia fischeriana var. komaroviana (Prokh.) G.L.Chu,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma,Euphorbia komaroviana Prokh.,Euphorbia komaroviana
513931,Euphorbia komaroviana Prokh.,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma,Euphorbia komaroviana Prokh.,Euphorbia komaroviana
513932,Euphorbia pallasii var. komaroviana (Prokh.) Y.C.Zhu,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma Hand.-Mazz.,Euphorbia hylonoma,Euphorbia komaroviana Prokh.,Euphorbia komaroviana
513941,Euphorbia boliviana Rusby,Euphorbia hypericifolia L.,Euphorbia hypericifolia L.,Euphorbia hypericifolia L.,Euphorbia hypericifolia,Euphorbia prostrata Aiton,Euphorbia prostrata
514051,Euphorbia ovalifolia var. dentata R.E.Fr.,Euphorbia klotzschii Oudejans,Euphorbia klotzschii Oudejans,Euphorbia klotzschii Oudejans,Euphorbia klotzschii,Euphorbia amandi Oudejans,Euphorbia amandi
514104,Euphorbia velutina Greene,Euphorbia leucophylla Benth.,Euphorbia leucophylla Benth.,Euphorbia leucophylla Benth.,Euphorbia leucophylla,Euphorbia leucophylla subsp. leucophylla,Euphorbia leucophylla
514105,Euphorbia leucophylla subsp. comcaacorum V.W.Steinm. & Felger,Euphorbia leucophylla Benth.,Euphorbia leucophylla Benth.,Euphorbia leucophylla Benth.,Euphorbia leucophylla,Euphorbia leucophylla subsp. comcaacorum V.W.Steinm. & Felger,Euphorbia leucophylla
514106,Euphorbia biserrata Millsp.,Euphorbia leucophylla Benth.,Euphorbia leucophylla Benth.,Euphorbia leucophylla Benth.,Euphorbia leucophylla,Euphorbia leucophylla subsp. leucophylla,Euphorbia leucophylla
514296,Euphorbia pauciflora var. dentata C.Vicioso ex Losa,Euphorbia minuta Loscos & J.Pardo,Euphorbia minuta Loscos & J.Pardo,Euphorbia minuta Loscos & J.Pardo,Euphorbia minuta,Euphorbia minuta subsp. minuta,Euphorbia minuta
514297,Euphorbia pauciflora var. pectinata C.Vicioso,Euphorbia minuta Loscos & J.Pardo,Euphorbia minuta Loscos & J.Pardo,Euphorbia minuta Loscos & J.Pardo,Euphorbia minuta,Euphorbia minuta subsp. minuta,Euphorbia minuta
514340,Tithymalus apiculatus Klotzsch & Garcke,Euphorbia natalensis Bernh.,Euphorbia natalensis Bernh.,Euphorbia natalensis Bernh.,Euphorbia natalensis,Euphorbia genistoides P.J.Bergius,Euphorbia genistoides
514343,Euphorbia fragiliramulosa L.C.Leach,Euphorbia negromontana N.E.Br.,Euphorbia negromontana N.E.Br.,Euphorbia negromontana N.E.Br.,Euphorbia negromontana,Euphorbia negromontana subsp. negromontana,Euphorbia negromontana
514344,Euphorbia conformis N.E.Br.,Euphorbia negromontana N.E.Br.,Euphorbia negromontana N.E.Br.,Euphorbia negromontana N.E.Br.,Euphorbia negromontana,Euphorbia negromontana subsp. negromontana,Euphorbia negromontana
514362,Euphorbia japygica Ten.,Euphorbia nicaeensis All.,Euphorbia nicaeensis All.,Euphorbia nicaeensis All.,Euphorbia nicaeensis,Euphorbia japygica Ten.,Euphorbia japygica
514365,Euphorbia multicaulis Thuill.,Euphorbia nicaeensis All.,Euphorbia nicaeensis All.,Euphorbia nicaeensis All.,Euphorbia nicaeensis,Euphorbia seguieriana Neck.,Euphorbia seguieriana
514610,Euphorbia platyphyllos var. bilbilitana Pau,Euphorbia platyphyllos L.,Euphorbia platyphyllos L.,Euphorbia platyphyllos L.,Euphorbia platyphyllos,Euphorbia platyphyllos subsp. platyphyllos,Euphorbia platyphyllos
514731,Tirucalia indecora (N.E.Br.) P.V.Heath,Euphorbia racemosa E.Mey. ex Boiss.,Euphorbia racemosa E.Mey. ex Boiss.,Euphorbia racemosa E.Mey. ex Boiss.,Euphorbia racemosa,Euphorbia rhombifolia Boiss.,Euphorbia rhombifolia
514735,Euphorbia indecora N.E.Br.,Euphorbia racemosa E.Mey. ex Boiss.,Euphorbia racemosa E.Mey. ex Boiss.,Euphorbia racemosa E.Mey. ex Boiss.,Euphorbia racemosa,Euphorbia rhombifolia Boiss.,Euphorbia rhombifolia
515029,Euphorbia stictospora var. sublaevis M.C.Johnst.,Euphorbia stictospora Engelm.,Euphorbia stictospora Engelm.,Euphorbia stictospora Engelm.,Euphorbia stictospora,Euphorbia stictospora var. sublaevis M.C.Johnst.,Euphorbia stictospora
515030,Euphorbia stictospora var. texensis Millsp.,Euphorbia stictospora Engelm.,Euphorbia stictospora Engelm.,Euphorbia stictospora Engelm.,Euphorbia stictospora,Euphorbia stictospora var. stictospora,Euphorbia stictospora
515032,Chamaesyce stictospora var. guadalupensis Small,Euphorbia stictospora Engelm.,Euphorbia stictospora Engelm.,Euphorbia stictospora Engelm.,Euphorbia stictospora,Euphorbia stictospora var. stictospora,Euphorbia stictospora
